SMILES,chemicalName,CAS
Clc1ccc(cc1)N(=O)=O,1-Chloro-4-nitrobenzene,100-00-5
Nc1ccc(cc1)N(=O)=O,4-Nitroaniline,100-01-6
Oc1ccc(cc1)N(=O)=O,4-Nitrophenol,100-02-7
COc1ccc(cc1)C(=O)C,4-Methoxyacetophenone,100-06-1
COc1ccc(cc1)C(=O)O,4-Methoxybenzoic acid,100-09-4
BrCc1ccc(cc1)N(=O)=O,4-(Bromomethyl)nitrobenzene,100-11-8
ClCc1ccc(cc1)N(=O)=O,4-Nitrobenzyl chloride,100-14-1
COc1ccc(cc1)N(=O)=O,4-Nitroanisole,100-17-4
CC(c1ccc(cc1)C(C)C)C,1.4-Diisopropylbenzene,100-18-5
CC(=O)c1ccc(cc1)N(=O)=O,4'-Nitroacetophenone,100-19-6
OC(=O)c1ccc(cc1)C(=O)O,Terephthalic acid,100-21-0
CN(c1ccc(cc1)N(=O)=O)C,4-Nitro-N.N-dimethylaniline,100-23-2
CCCCC#CCO,Hept-2-yn-1-ol,1002-36-4
O=N(=O)c1ccc(cc1)N(=O)=O,1.4-Dinitrobenzene,100-25-4
CCCCCCCCCCCl,1-Chlorodecane,1002-69-3
CCCCCCCCCCCCCCC(=O)O,Pentadecanoic acid,1002-84-2
NC1CCCC1,Cyclopentylamine,1003-03-8
CCOc1ccc(cc1)C=O,4-Ethoxybenzaldehyde,10031-82-0
CCC(COC(=O)C)CC,2-Ethyl-1-butyl acetate,10031-87-5
CCC(C(=O)O)Cc1c(I)cc(c(c1I)N)I,Iopanoic acid,96-83-3
Brc1c(Br)c(Br)c(c(c1Br)Br)Br,hexabromobenzene,87-82-1
ClC12C(Cl)(Cl)C3(C4(C1(Cl)C1(C2(Cl)C3(C4(C1(Cl)Cl)Cl)Cl)Cl)Cl)Cl,Mirex,2385-85-5
CC(c1cc(Br)c(c(c1)Br)O)(c1cc(Br)c(c(c1)Br)O)C,3.3'.5.5'-tetrabromobisphenol A,79-94-7
I[Ge](I)(I)I,Germanium tetraiodide,13450-95-8
Clc1c(c2c(Cl)c(Cl)c(c(c2Cl)Cl)Cl)c(Cl)c(c(c1Cl)Cl)Cl,PCB 209,2051-24-3
Brc1c(O)c(Br)c(c(c1Br)Br)Br,pentabromophenol,608-71-9
Brc1c(C)c(Br)c(c(c1Br)Br)Br,pentabromotoluene,87-83-2
Brc1cc(Br)c(c(c1Br)Br)Br,Pentabromobenzene,608-90-2
Ic1cc(I)c(c(c1)I)O,2.4.6-Triiodophenol,609-23-4
Clc1c(Cl)cc(c(c1Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl)Cl,PCB 207,52663-79-3
Clc1c(Cl)c(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,PCB 208,52663-77-1
Clc1cc(c(c(c1Cl)Cl)Cl)c1c(Cl)c(Cl)c(c(c1Cl)Cl)Cl,PCB 206,40186-72-9
Clc1cc(Cl)c(c(c1c1c(Cl)cc(c(c1Cl)Cl)Cl)Cl)Cl,PCB 197,33091-17-7
Clc1cc(Cl)c(c(c1Cl)Cl)c1c(Cl)c(Cl)cc(c1Cl)Cl,PCB 201,40186-71-8
CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,n-Nonacosane,630-03-5
CCCCCCCCCCCCCCCCCCCCCCCCCCCC,n-Octacosane,630-02-4
CCCCCCCCCCCCCCCCCCCCCCCCCCC,n-Heptacosane,593-49-7
CC(CCC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CCCC2)C)C,Cholestane,481-21-0
CC(CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C)C,Diisononyl phthalate,28553-12-0
CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCC,Dinonyl phthalate,84-76-4
CCCCCCCCCCCCCCCCCCCCCCCCCC,n-Hexacosane,630-01-3
CCCCCCCCCCCCCCCCCCCCCCCCC,n-Pentacosane,629-99-2
c1ccc(cc1)C(c1ccccc1)(c1ccccc1)c1ccccc1,Tetraphenylmethane,630-76-2
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC,di(2-ethylhexyl) phthalate,117-81-7
CC(CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C)C,Diisooctyl phthalate,27554-26-3
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,dioctyl Phthalate,117-84-0
CCCCC(=O)O[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,Testosterone pentanoate,3129-43-9
CCCCCCCCCCCCCCCCCCCCCCCC(=O)O,Tetracosanoic acid,557-59-5
CCCCCCCCN(CCCCCCCC)CCCCCCCC,Trioctylamine,1116-76-3
CCCCCCCCCCCCCCCCCCCCCCCC,n-Tetracosane,646-31-1
c1ccc(cc1)c1cc(cc(c1)c1ccccc1)c1ccccc1,1.3.5-Triphenylbenzene,612-71-5
c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)c1ccccc1,p-Quaterphenyl,135-70-6
c1cc2ccc3c4c2c2c1ccc1c2c2c4c(cc3)ccc2cc1,Coronene,191-07-1
CCCC(=O)O[C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C,Testosterone butanoate,3410-54-6
CCCCCCCCCCCCCCCCCCCCCCC(=O)O,Tricosanoic acid,2433-96-7
CCCCCCCCCCCCCCCCCCCCCCC,n-Tricosane,638-67-5
N#CC(c1cccc(c1)Oc1ccccc1)OC(=O)C1C(C1(C)C)C=C(Cl)Cl,Cypermethrin,52315-07-8
CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,Diheptyl phthalate,3648-21-3
